Time (sec)	L-shell	10 MeV/G	32 MeV/G	100 MeV/G	320 MeV/G	1000 MeV/G	3200 MeV/G	10000 MeV/G	32000 MeV/G	100000 MeV/G	320000 MeV/G
378476105	9.8225	0.002486701	0.0001286	7.90034E-06	5.44357E-07	4.64785E-08	4.13163E-09	3.86523E-10	3.11942E-11	2.12604E-12	9.14987E-14
312075305	9.8230	0.000426888	4.1572E-05	4.34063E-06	4.39836E-07	4.55344E-08	4.12943E-09	3.48722E-10	2.46702E-11	1.66363E-12	9.84493E-14
347301905	9.8280	6.20287E-05	1.64904E-05	3.95127E-06	7.2199E-07	9.99744E-08	9.54091E-09	7.18528E-10	4.10292E-11	2.13554E-12	9.47256E-14
326112905	9.8296	0.000523402	6.35426E-05	7.78192E-06	8.44926E-07	8.48312E-08	6.94638E-09	5.15874E-10	3.20982E-11	1.94053E-12	1.04593E-13
297080105	9.8299	0.005475253	0.000314893	2.10643E-05	1.52882E-06	1.30766E-07	1.0898E-08	8.81199E-10	5.58933E-11	2.84586E-12	9.75271E-14
359231705	9.8317	0.000755157	0.00013994	1.99357E-05	1.84675E-06	1.34905E-07	8.09967E-09	4.8817E-10	2.7224E-11	1.59968E-12	8.83983E-14
247647905	9.8348	0.000452333	5.46837E-05	6.77584E-06	7.62932E-07	8.10112E-08	7.05526E-09	5.49472E-10	3.50955E-11	2.12984E-12	1.1326E-13
378411905	9.8360	0.000453427	5.16877E-05	6.00407E-06	6.27603E-07	6.19895E-08	5.10906E-09	3.90137E-10	2.54302E-11	1.62997E-12	9.40769E-14
411705305	9.8360	0.042889627	0.00289843	0.00010817	3.56E-06	1.50974E-07	7.25006E-09	4.20571E-10	2.48592E-11	1.62704E-12	1.03228E-13
274982105	9.8405	0.148421412	0.002340049	5.2136E-05	1.57656E-06	7.3027E-08	4.0806E-09	2.80409E-10	1.98594E-11	1.55656E-12	1.18879E-13
291510305	9.8418	0.000490593	0.000103147	8.32184E-06	4.83829E-07	3.17793E-08	2.22864E-09	1.80587E-10	1.47084E-11	1.30321E-12	1.1193E-13
251376905	9.8427	0.009059537	0.000417033	2.28655E-05	1.39951E-06	1.05283E-07	8.02566E-09	6.23013E-10	4.01721E-11	2.22424E-12	8.94222E-14
331238105	9.8436	0.00040254	3.96674E-05	4.24507E-06	4.50712E-07	4.98282E-08	4.84141E-09	4.2422E-10	2.91942E-11	1.76796E-12	8.67443E-14
